,TICKER,EMISOR,VENCIMIENTO,AMORTIZACION,CUPON_DE_RENTA,PROX_VENC,VR,COTIZACION,FECH_ULT_COT,RENTA_ANUAL,INT_CORRIDOS_C100vn,YIELD_ANUAL,VALOR_TECNICO_C100vn,PARIDAD_PERC,TIR_ANUAL,DM,PPV
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,11500.000,29-Mar-22,Fija=1.5,-,2.62,100.00,57.36,15.03%,6.36,8.26
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,20950.000,19-Ene-22,Fija=6,0.25,6.15,100.25,97.65,7.91%,1.34,1.40
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,20500.000,19-Ene-22,Fija=7.375,-,7.70,100.00,95.79,10.79%,1.37,1.45
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.00,19400.000,19-Ene-22,Fija=8.75,2.60,9.94,102.60,88.35,21.14%,1.02,1.26
3,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-22,100.00,21396.000,18-Ene-22,Fija=9.5,3.51,9.85,103.51,96.59,12.83%,1.76,1.99
4,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Ene-22,100.00,17200.000,19-Ene-22,Fija=8.5,4.08,11.14,104.08,77.21,18.67%,2.61,3.03
5,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-22,100.00,21850.000,19-Ene-22,Fija=8.5,3.90,8.66,103.90,98.27,9.54%,2.12,2.31
6,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Feb-22,100.00,17400.000,19-Ene-22,Fija=4,0.77,4.97,100.77,80.68,17.64%,2.17,2.43
7,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-22,100.00,21600.000,19-Ene-22,Fija=10.95,0.64,10.92,100.64,100.29,11.32%,3.46,3.74
8,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,20500.000,19-Ene-22,Fija=8,0.07,8.36,100.07,95.72,9.40%,3.67,3.96
9,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,24000.000,19-Ene-22,Fija=9.125,2.05,8.29,102.05,109.89,6.48%,3.48,3.71
10,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,13400.000,19-Ene-22,Fija=2.5,0.15,4.00,100.15,62.52,18.95%,4.25,5.19
11,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-22,100.00,10900.000,19-Ene-22,Fija=1.5,0.46,2.97,100.46,50.70,16.82%,6.22,8.41
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,36000.000,27-Dic-22,Fija=6,2.88,5.84,102.88,102.71,0.61%,0.50,0.50
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,34999.500,27-Dic-22,Fija=7.375,3.24,7.41,103.24,99.52,8.49%,0.52,0.54
2,IRCFO,IRSA CLASE XIV EN U$S ,28-Feb-24,5-Anual,Sem.,22-Jun-23,100.00,33620.000,27-Dic-22,Tasa fija.=8.75,0.17,8.88,100.17,98.52,9.44%,3.03,3.40
3,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,28-Feb-24,3-Anual,Sem.,8-Jun-23,100.00,36000.000,27-Dic-22,Tasa fija.=9.5,0.55,9.04,100.55,105.09,7.65%,2.53,2.70
4,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,28-Feb-24,7-Sem,Sem.,9-Abr-23,100.00,37000.000,27-Dic-22,Tasa fija.=8.25,1.15,7.68,101.15,107.38,5.78%,2.83,2.99
5,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-23,70.00,23399.000,27-Dic-22,Fija=8.75,1.45,9.11,71.45,96.14,14.44%,0.74,0.82
6,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,34200.000,27-Dic-22,Tasa fija=6.875,0.84,6.91,100.84,99.56,7.34%,1.28,1.33
7,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-23,86.70,31500.000,27-Dic-22,Fija=9.5,2.54,9.16,89.24,103.62,8.66%,1.28,1.38
8,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,30000.000,27-Dic-22,Fija=8.5,3.57,10.06,103.57,85.03,16.70%,2.08,2.33
9,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,34650.000,27-Dic-22,Fija=8.5,3.38,8.64,103.38,98.39,9.88%,1.38,1.52
10,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Feb-23,100.00,32800.000,27-Dic-22,Fija=4,0.52,4.18,100.52,95.78,12.53%,1.42,1.56
11,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Dic-22,100.00,35600.000,27-Dic-22,Fija=10.95,2.71,10.76,102.71,101.75,10.74%,2.81,2.99
12,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,33400.000,27-Dic-22,Fija=8,3.58,8.47,103.58,94.66,10.12%,2.89,3.13
13,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.00,38500.000,27-Dic-22,Fija=9.125,1.50,8.18,101.50,111.35,5.36%,2.86,2.99
14,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Mar-23,100.00,34350.000,27-Dic-22,Tasa fija=8.75,2.84,8.93,102.84,98.04,9.95%,1.99,2.28
15,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,28900.000,27-Dic-22,Fija=2.5,1.24,2.99,101.24,83.79,14.13%,3.67,4.30
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-23,100.00,23100.000,27-Dic-22,Fija=1.5,0.37,2.22,100.37,67.56,13.66%,5.89,7.55
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,20600.000,21-Abr-22,Fija=6,1.82,6.04,101.82,99.30,6.73%,1.12,1.16
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,21000.000,21-Abr-22,Fija=7.375,1.93,7.29,101.93,101.12,6.50%,1.15,1.19
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,13750.000,21-Abr-22,Fija=8.75,0.36,9.12,70.36,95.92,12.14%,1.35,1.46
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-22,100.00,20200.000,21-Abr-22,Tasa fija=6.875,3.06,7.16,103.06,96.20,9.19%,1.81,1.91
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,19700.000,20-Abr-22,Fija=9.5,1.24,9.95,101.24,95.50,13.94%,1.59,1.81
5,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,17750.000,21-Abr-22,Fija=8.5,2.05,9.99,102.05,85.36,14.89%,2.62,2.92
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,20300.000,21-Abr-22,Fija=8.5,1.87,8.69,101.87,97.81,9.83%,1.95,2.13
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,18500.000,21-Abr-22,Fija=4,0.81,4.45,100.81,90.07,13.11%,2.01,2.19
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-22,100.00,20600.000,21-Abr-22,Fija=10.95,0.76,10.91,100.76,100.34,11.28%,3.30,3.55
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,20200.000,21-Abr-22,Fija=8,2.16,8.25,102.16,97.05,9.05%,3.43,3.70
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,21800.000,20-Abr-22,Fija=9.125,4.44,8.90,104.44,102.45,8.53%,3.17,3.45
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,20250.000,21-Abr-22,Tasa fija=8.75,1.29,8.92,101.29,98.12,9.70%,2.55,2.87
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,15250.000,21-Abr-22,Fija=2.5,0.80,3.38,100.80,74.25,15.43%,4.18,4.94
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,12225.000,20-Abr-22,Fija=1.5,0.10,2.50,100.10,59.94,14.44%,6.37,8.19
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,19450.000,12-Abr-22,Fija=6,1.70,5.99,101.70,100.15,5.94%,1.14,1.18
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,19555.000,12-Abr-22,Fija=7.375,1.78,7.33,101.78,100.61,6.96%,1.16,1.21
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,12900.000,12-Abr-22,Fija=8.75,0.24,9.10,70.24,96.18,11.89%,1.37,1.48
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-22,100.00,18800.000,12-Abr-22,Tasa fija=6.875,2.92,7.20,102.92,95.66,9.49%,1.82,1.93
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,19300.000,12-Abr-22,Fija=9.5,1.06,9.50,101.06,100.01,10.89%,1.65,1.83
5,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,16845.000,12-Abr-22,Fija=8.5,1.89,9.85,101.89,86.58,14.28%,2.65,2.94
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,19054.000,12-Abr-22,Fija=8.5,1.70,8.67,101.70,98.11,9.66%,1.98,2.15
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,17450.000,12-Abr-22,Fija=4,0.69,4.41,100.69,90.76,12.56%,2.05,2.22
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-22,100.00,19700.000,12-Abr-22,Fija=10.95,0.55,10.67,100.55,102.60,10.56%,3.33,3.57
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,18890.000,12-Abr-22,Fija=8,1.91,8.25,101.91,97.07,9.04%,3.46,3.73
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,22000.000,12-Abr-22,Fija=9.125,4.26,8.22,104.26,110.50,6.10%,3.27,3.47
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,18800.000,12-Abr-22,Tasa fija=8.75,1.12,8.99,101.12,97.36,10.01%,2.56,2.89
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,14800.000,12-Abr-22,Fija=2.5,0.72,3.26,100.72,76.95,14.44%,4.26,4.97
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,12000.000,12-Abr-22,Fija=1.5,0.06,2.39,100.06,62.81,13.60%,6.50,8.22
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,19400.000,5-Abr-22,Fija=6,1.52,5.96,101.52,100.59,5.57%,1.17,1.21
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,19400.000,5-Abr-22,Fija=7.375,1.56,7.33,101.56,100.55,7.03%,1.19,1.24
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,12700.000,5-Abr-22,Fija=8.75,0.05,9.17,70.05,95.43,12.43%,1.39,1.51
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-22,100.00,18800.000,5-Abr-22,Tasa fija=6.875,2.71,7.14,102.71,96.34,9.05%,1.86,1.96
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,19200.000,5-Abr-22,Fija=9.5,0.77,9.47,100.77,100.30,10.70%,1.68,1.86
5,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,16950.000,5-Abr-22,Fija=8.5,1.63,9.70,101.63,87.79,13.67%,2.69,2.97
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,18900.000,5-Abr-22,Fija=8.5,1.44,8.67,101.44,98.07,9.67%,2.00,2.18
