,Unnamed: 0,TICKER,EMISOR,VENCIMIENTO,AMORTIZACION,CUPON_DE_RENTA,PROX_VENC,VR,COTIZACION,FECH_ULT_COT,RENTA_ANUAL,INT_CORRIDOS_C100vn,YIELD_ANUAL,VALOR_TECNICO_C100vn,PARIDAD_PERC,TIR_ANUAL,DM,PPV
17,5.0,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-23,100.0,36800.0,10-Abr-23,Fija=8.5,1.70,9.55,101.7,89.23,14.77%,1.94,2.12
18,6.0,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-23,97.0,38610.0,10-Abr-23,Fija=8.5,1.51,8.8,98.51,96.65,11.61%,1.19,1.33
19,7.0,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-23,92.31,37380.0,10-Abr-23,Fija=9,1.38,9.15,93.69,98.38,10.62%,1.29,1.4
20,8.0,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-23,100.0,41190.0,10-Abr-23,Fija=10.95,0.37,10.82,100.37,101.2,10.91%,2.68,2.83
21,9.0,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-23,100.0,38799.0,10-Abr-23,Fija=8,1.87,8.53,101.87,93.92,10.52%,2.73,2.94
22,10.0,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,8-Dic-26,3-Anual,Sem.,8-Jun-23,100.0,44700.0,10-Abr-23,Tasa fija.=9.5,3.27,8.88,103.27,106.74,6.68%,2.28,2.42
23,11.0,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.0,45500.0,10-Abr-23,Fija=9.125,4.11,8.44,104.11,107.78,6.25%,2.56,2.71
24,12.0,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-23,90.0,35500.0,10-Abr-23,Tasa fija=8.75,0.88,9.09,90.88,96.33,10.86%,2.0,2.27
25,13.0,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,9-Oct-27,7-Sem,Sem.,9-Oct-23,100.0,43889.0,10-Abr-23,Tasa fija.=8.25,0.07,7.63,100.07,108.15,5.30%,2.65,2.78
26,14.0,IRCFO,IRSA CLASE XIV EN U$S ,22-Jun-28,5-Anual,Sem.,22-Jun-23,100.0,41979.0,10-Abr-23,Tasa fija.=8.75,2.67,8.68,102.67,100.82,8.62%,2.79,3.12
27,15.0,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.0,33900.0,10-Abr-23,Fija=9,2.55,11.1,102.55,81.52,15.30%,3.41,4.05
28,16.0,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-23,100.0,27500.0,10-Abr-23,Fija=7,0.23,10.36,100.23,67.66,13.76%,5.79,7.36
29,0.0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.0,41600.0,14-Abr-23,Fija=6,1.72,5.84,101.72,102.73,-,0.22,0.21
30,1.0,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-23,100.0,41500.0,17-Abr-23,Fija=7.375,1.80,7.2,101.8,102.39,-,0.26,0.25
31,2.0,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-23,40.0,16050.0,17-Abr-23,Fija=8.75,0.15,8.71,40.15,100.42,8.42%,0.9,0.94
32,3.0,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.0,41000.0,17-Abr-23,Tasa fija=6.875,2.94,6.87,102.94,100.04,6.93%,0.99,1.03
33,4.0,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-23,73.4,30401.0,17-Abr-23,Fija=9.5,0.79,9.23,74.19,102.92,9.04%,1.23,1.31
34,5.0,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-23,100.0,37500.0,17-Abr-23,Fija=8.5,1.87,9.21,101.87,92.47,12.86%,1.95,2.1
35,6.0,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-23,97.0,39450.0,17-Abr-23,Fija=8.5,1.67,8.46,98.67,100.42,8.27%,1.21,1.31
36,7.0,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-23,92.31,38000.0,17-Abr-23,Fija=9,1.55,8.85,93.85,101.7,7.89%,1.3,1.38
37,8.0,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-23,100.0,41700.0,17-Abr-23,Fija=10.95,0.58,10.51,100.58,104.14,9.75%,2.67,2.81
38,9.0,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-23,100.0,39145.0,17-Abr-23,Fija=8,2.02,8.31,102.02,96.38,9.55%,2.73,2.92
39,10.0,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,8-Dic-26,3-Anual,Sem.,8-Jun-23,100.0,45090.0,17-Abr-23,Tasa fija.=9.5,3.46,8.65,103.46,109.47,5.51%,2.28,2.4
40,11.0,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.0,46000.0,17-Abr-23,Fija=9.125,4.28,8.2,104.28,110.8,5.11%,2.57,2.69
41,12.0,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-23,90.0,36160.0,17-Abr-23,Tasa fija=8.75,1.03,8.77,91.03,99.78,9.03%,2.02,2.25
42,13.0,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,9-Oct-27,7-Sem,Sem.,9-Oct-23,100.0,42600.0,17-Abr-23,Tasa fija.=8.25,0.23,7.73,100.23,106.76,5.79%,2.62,2.76
43,14.0,IRCFO,IRSA CLASE XIV EN U$S ,22-Jun-28,5-Anual,Sem.,22-Jun-23,100.0,42400.0,17-Abr-23,Tasa fija.=8.75,2.84,8.44,102.84,103.56,7.62%,2.81,3.1
44,15.0,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.0,35995.0,17-Abr-23,Fija=9,2.73,10.26,102.73,88.01,12.96%,3.49,4.03
45,16.0,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-23,100.0,29300.0,17-Abr-23,Fija=7,0.37,9.56,100.37,73.33,12.33%,5.94,7.34
46,0.0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.0,19600.0,29-Mar-22,Fija=6,1.42,6.23,101.42,96.39,9.31%,1.17,1.22
47,1.0,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.0,19650.0,29-Mar-22,Fija=7.375,1.43,7.64,101.43,96.62,10.48%,1.19,1.26
48,2.0,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.0,19500.0,29-Mar-22,Fija=8.75,4.30,9.41,104.3,93.25,16.88%,0.89,1.07
49,3.0,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-22,100.0,19700.0,29-Mar-22,Tasa fija=6.875,2.60,7.19,102.6,95.77,9.36%,1.87,1.98
50,4.0,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.0,19400.0,29-Mar-22,Fija=9.5,0.61,9.88,100.61,96.18,13.31%,1.66,1.88
51,5.0,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.0,17000.0,29-Mar-22,Fija=8.5,1.49,10.2,101.49,83.55,15.59%,2.67,2.99
52,6.0,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.0,19300.0,29-Mar-22,Fija=8.5,1.30,8.95,101.3,95.03,11.30%,2.0,2.2
53,7.0,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.0,17270.0,29-Mar-22,Fija=4,0.54,4.67,100.54,85.67,15.47%,2.05,2.26
54,8.0,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-22,100.0,19700.0,29-Mar-22,Fija=10.95,-,11.14,100.0,98.26,11.97%,3.35,3.62
55,9.0,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.0,19000.0,29-Mar-22,Fija=8,1.62,8.59,101.62,93.25,10.23%,3.46,3.77
56,10.0,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.0,22250.0,29-Mar-22,Fija=9.125,3.80,8.51,103.8,106.91,7.18%,3.28,3.52
57,11.0,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.0,19299.0,29-Mar-22,Tasa fija=8.75,0.70,9.16,100.7,95.58,10.73%,2.58,2.94
58,12.0,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.0,14500.0,29-Mar-22,Fija=2.5,0.63,3.49,100.63,71.87,16.05%,4.22,5.01
59,13.0,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.0,11500.0,29-Mar-22,Fija=1.5,-,2.62,100.0,57.36,15.03%,6.36,8.26
60,0.0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.0,20950.0,19-Ene-22,Fija=6,0.25,6.15,100.25,97.65,7.91%,1.34,1.4
61,1.0,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.0,20500.0,19-Ene-22,Fija=7.375,-,7.7,100.0,95.79,10.79%,1.37,1.45
62,2.0,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.0,19400.0,19-Ene-22,Fija=8.75,2.60,9.94,102.6,88.35,21.14%,1.02,1.26
63,3.0,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-22,100.0,21396.0,18-Ene-22,Fija=9.5,3.51,9.85,103.51,96.59,12.83%,1.76,1.99
64,4.0,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Ene-22,100.0,17200.0,19-Ene-22,Fija=8.5,4.08,11.14,104.08,77.21,18.67%,2.61,3.03
65,5.0,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-22,100.0,21850.0,19-Ene-22,Fija=8.5,3.90,8.66,103.9,98.27,9.54%,2.12,2.31
66,6.0,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Feb-22,100.0,17400.0,19-Ene-22,Fija=4,0.77,4.97,100.77,80.68,17.64%,2.17,2.43
67,7.0,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-22,100.0,21600.0,19-Ene-22,Fija=10.95,0.64,10.92,100.64,100.29,11.32%,3.46,3.74
68,8.0,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.0,20500.0,19-Ene-22,Fija=8,0.07,8.36,100.07,95.72,9.40%,3.67,3.96
69,9.0,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.0,24000.0,19-Ene-22,Fija=9.125,2.05,8.29,102.05,109.89,6.48%,3.48,3.71
70,10.0,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.0,13400.0,19-Ene-22,Fija=2.5,0.15,4.0,100.15,62.52,18.95%,4.25,5.19
71,11.0,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-22,100.0,10900.0,19-Ene-22,Fija=1.5,0.46,2.97,100.46,50.7,16.82%,6.22,8.41
72,0.0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.0,36000.0,27-Dic-22,Fija=6,2.88,5.84,102.88,102.71,0.61%,0.5,0.5
73,1.0,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.0,34999.5,27-Dic-22,Fija=7.375,3.24,7.41,103.24,99.52,8.49%,0.52,0.54
74,2.0,IRCFO,IRSA CLASE XIV EN U$S ,28-Feb-24,5-Anual,Sem.,22-Jun-23,100.0,33620.0,27-Dic-22,Tasa fija.=8.75,0.17,8.88,100.17,98.52,9.44%,3.03,3.4
75,3.0,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,28-Feb-24,3-Anual,Sem.,8-Jun-23,100.0,36000.0,27-Dic-22,Tasa fija.=9.5,0.55,9.04,100.55,105.09,7.65%,2.53,2.7
76,4.0,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,28-Feb-24,7-Sem,Sem.,9-Abr-23,100.0,37000.0,27-Dic-22,Tasa fija.=8.25,1.15,7.68,101.15,107.38,5.78%,2.83,2.99
77,5.0,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-23,70.0,23399.0,27-Dic-22,Fija=8.75,1.45,9.11,71.45,96.14,14.44%,0.74,0.82
78,6.0,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.0,34200.0,27-Dic-22,Tasa fija=6.875,0.84,6.91,100.84,99.56,7.34%,1.28,1.33
79,7.0,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-23,86.7,31500.0,27-Dic-22,Fija=9.5,2.54,9.16,89.24,103.62,8.66%,1.28,1.38
80,8.0,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.0,30000.0,27-Dic-22,Fija=8.5,3.57,10.06,103.57,85.03,16.70%,2.08,2.33
81,9.0,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.0,34650.0,27-Dic-22,Fija=8.5,3.38,8.64,103.38,98.39,9.88%,1.38,1.52
82,10.0,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Feb-23,100.0,32800.0,27-Dic-22,Fija=4,0.52,4.18,100.52,95.78,12.53%,1.42,1.56
83,11.0,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Dic-22,100.0,35600.0,27-Dic-22,Fija=10.95,2.71,10.76,102.71,101.75,10.74%,2.81,2.99
84,12.0,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.0,33400.0,27-Dic-22,Fija=8,3.58,8.47,103.58,94.66,10.12%,2.89,3.13
85,13.0,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.0,38500.0,27-Dic-22,Fija=9.125,1.50,8.18,101.5,111.35,5.36%,2.86,2.99
86,14.0,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Mar-23,100.0,34350.0,27-Dic-22,Tasa fija=8.75,2.84,8.93,102.84,98.04,9.95%,1.99,2.28
87,15.0,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.0,28900.0,27-Dic-22,Fija=2.5,1.24,2.99,101.24,83.79,14.13%,3.67,4.3
88,16.0,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-23,100.0,23100.0,27-Dic-22,Fija=1.5,0.37,2.22,100.37,67.56,13.66%,5.89,7.55
89,0.0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.0,20600.0,21-Abr-22,Fija=6,1.82,6.04,101.82,99.3,6.73%,1.12,1.16
90,1.0,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.0,21000.0,21-Abr-22,Fija=7.375,1.93,7.29,101.93,101.12,6.50%,1.15,1.19
91,2.0,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.0,13750.0,21-Abr-22,Fija=8.75,0.36,9.12,70.36,95.92,12.14%,1.35,1.46
92,3.0,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-22,100.0,20200.0,21-Abr-22,Tasa fija=6.875,3.06,7.16,103.06,96.2,9.19%,1.81,1.91
93,4.0,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.0,19700.0,20-Abr-22,Fija=9.5,1.24,9.95,101.24,95.5,13.94%,1.59,1.81
94,5.0,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.0,17750.0,21-Abr-22,Fija=8.5,2.05,9.99,102.05,85.36,14.89%,2.62,2.92
95,6.0,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.0,20300.0,21-Abr-22,Fija=8.5,1.87,8.69,101.87,97.81,9.83%,1.95,2.13
96,7.0,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.0,18500.0,21-Abr-22,Fija=4,0.81,4.45,100.81,90.07,13.11%,2.01,2.19
97,8.0,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-22,100.0,20600.0,21-Abr-22,Fija=10.95,0.76,10.91,100.76,100.34,11.28%,3.3,3.55
98,9.0,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.0,20200.0,21-Abr-22,Fija=8,2.16,8.25,102.16,97.05,9.05%,3.43,3.7
99,10.0,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.0,21800.0,20-Abr-22,Fija=9.125,4.44,8.9,104.44,102.45,8.53%,3.17,3.45
100,11.0,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.0,20250.0,21-Abr-22,Tasa fija=8.75,1.29,8.92,101.29,98.12,9.70%,2.55,2.87
101,12.0,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.0,15250.0,21-Abr-22,Fija=2.5,0.80,3.38,100.8,74.25,15.43%,4.18,4.94
102,13.0,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.0,12225.0,20-Abr-22,Fija=1.5,0.10,2.5,100.1,59.94,14.44%,6.37,8.19
103,0.0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.0,19450.0,12-Abr-22,Fija=6,1.70,5.99,101.7,100.15,5.94%,1.14,1.18
104,1.0,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.0,19555.0,12-Abr-22,Fija=7.375,1.78,7.33,101.78,100.61,6.96%,1.16,1.21
105,2.0,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.0,12900.0,12-Abr-22,Fija=8.75,0.24,9.1,70.24,96.18,11.89%,1.37,1.48
106,3.0,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-22,100.0,18800.0,12-Abr-22,Tasa fija=6.875,2.92,7.2,102.92,95.66,9.49%,1.82,1.93
107,4.0,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.0,19300.0,12-Abr-22,Fija=9.5,1.06,9.5,101.06,100.01,10.89%,1.65,1.83
108,5.0,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.0,16845.0,12-Abr-22,Fija=8.5,1.89,9.85,101.89,86.58,14.28%,2.65,2.94
109,6.0,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.0,19054.0,12-Abr-22,Fija=8.5,1.70,8.67,101.7,98.11,9.66%,1.98,2.15
110,7.0,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.0,17450.0,12-Abr-22,Fija=4,0.69,4.41,100.69,90.76,12.56%,2.05,2.22
111,8.0,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-22,100.0,19700.0,12-Abr-22,Fija=10.95,0.55,10.67,100.55,102.6,10.56%,3.33,3.57
112,9.0,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.0,18890.0,12-Abr-22,Fija=8,1.91,8.25,101.91,97.07,9.04%,3.46,3.73
113,10.0,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.0,22000.0,12-Abr-22,Fija=9.125,4.26,8.22,104.26,110.5,6.10%,3.27,3.47
114,11.0,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.0,18800.0,12-Abr-22,Tasa fija=8.75,1.12,8.99,101.12,97.36,10.01%,2.56,2.89
115,12.0,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.0,14800.0,12-Abr-22,Fija=2.5,0.72,3.26,100.72,76.95,14.44%,4.26,4.97
116,13.0,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.0,12000.0,12-Abr-22,Fija=1.5,0.06,2.39,100.06,62.81,13.60%,6.5,8.22
117,0.0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.0,19400.0,5-Abr-22,Fija=6,1.52,5.96,101.52,100.59,5.57%,1.17,1.21
118,1.0,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.0,19400.0,5-Abr-22,Fija=7.375,1.56,7.33,101.56,100.55,7.03%,1.19,1.24
119,2.0,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.0,12700.0,5-Abr-22,Fija=8.75,0.05,9.17,70.05,95.43,12.43%,1.39,1.51
